none,Teacher,Class,Reviewer,Date,Difficulty,Test,Report,Attendance,Comments
,福田　他3名,生命科学B,,2013年01月28日,鬼,あり,時々あり,あり,4人の先生によるオムニバス形式。出席は毎回あり、先生によっては、授業の最後に先生が出す問題に答えて提出することで出席になる。期末テストは１人１題の計４題で空所補充や記述、計算など様々な形式の問題が出る。生物選択者にとっては、少し勉強すれば単位を落とすほどのものではないが、高評価を得るにはそれなりの勉強が必要。物理選択者は高校生物の知識が乏しいので、この講義の理解及び単位取得は非常に大変。他組するのも一案。
,福西,中国,,2013年01月27日,やや鬼,なし,あり,あり,シラバス通りの話は少ない
,沼崎 一郎,言語表現の世界,,2013年01月27日,やや鬼,なし,あり,,正式名称「社会科学レポート作成法」で通称「社レポ」。レポートの書き方を実体験を通して教わる授業である。大きく分けると資料の収集、論理展開、執筆時の注意となるが、いずれにおいてもその「徹底」が求められ、要求される水準は非常に高い。完成するレポート、もとい論文モドキは非常に内容が濃いものとなり、書き上げた喜びは筆舌尽くしがたいが、提出に至る者が受講者のおよそ半分であることからもその苛酷さが理解してもらえよう。評価をやや鬼としたがこれは執筆の印象を含めたものであり、出せればほぼ必ず浮く。この体験は強い自信となり、かつレポート作りが周囲よりも洗練されたものになる様を身をもって感じられるので受講を薦める。余談だが下のような「シャレポ君」というキャラクターがいるらしい。キャラが生まれた経緯はわからないが、締切間近の受講生の焦り、気の高ぶり方、狂気を巧く表現した顔文字だと思う。(☝ ՞ਊ ՞)☝
,河村 和徳,政治学,,2013年01月27日,やや鬼,あり,なし,なし,本項は1セメの政治学を扱う。試験100%持込み可、任意のレポートによる加点あり。指定の教科書に沿って面白可笑しく政治の概論を語る。過去の鬼仏表で問題とっている東北大disは封印したようである。高校の政経の延長にとどまらずPA理論など耳馴染みのないモデルも学ぶため、若干難しいところもあるが、そのぶん面白さもある。空欄補充など小問と論述を課す。論述は理論を実例にあてはめてみる問題などであるため、持込み可と言うものの事前に理論をものにしておく必要がある。とはいえ授業にきちんと出席していれば落とすことはないだろう。
,青木 俊明,環境心理学入門,,2013年01月27日,ど鬼,あり,時々あり,あり,ど鬼の称号がふさわしいだろう。一定時間の遅刻、及び一定回数以上の欠席は認められず、呑気な口調でレポートを課すが下手なものを書くとケチをつけられる。テストは用語の説明と論述の2つであり、論述においては授業の内容理解ではなく自由な発想を重視する。そしてその評価はからい。では講義の内容が充実しているかと言われればそうでもない。環境心理学を銘打っておきながら大半はどこかで聞いたことのある地球温暖化説の批判に終始する。講義はスライドで行われるため暗く閉め切られ、寝るのには悪くない。だがこれほど内容と単位の取りやすさが釣り合わないコスパの悪い講義はなかなかない。授業の題目に惹かれたのでなければ、取らない方がよい。
,オムニバス,文科系のための自然科学総合実験,,2013年01月27日,やや仏,なし,なし,あり,理系科目であること、時間がとられることなどで躊躇する者も多いかもしれないが、一応貴重な体験なのでとっておくことをお勧めする。1回ないし2回をつかって一つのテーマの実験をする。深く原理に踏み込んだり、理解を求めたりされることはないのでそれほど難しくもない。また、理系の自然科学総合実験のように長いレポートが課されることもなく、授業の最後にちょろっと感想文のようなものを書くだけでよい。
,長谷 理恵,英語A1,,2013年01月27日,ど仏,あり,時々あり,あり,まず最初に述べるべきは、これは英語の授業ではないということだ。授業の1/3は教官の思想を語るものであり、これを面白いとするか唾棄すべきものとみるか睡眠時間とみるかでこの講義の評価が変わる。ミニットペーパーにこれへの意見を求められることもある。教官の用意する英文の和約が授業の主たるものであるが、指名されるのは講義数回に一回、しかも名簿順である。その直前になって用意すればよい。テストは事前に出題箇所が提示され、しかも辞書の持ち込みが可。楽して単位がとりたいならばおすすめ。ただ、間違っても英語力は伸びない。
,宮腰 英一,教育学,,2013年01月27日,やや仏,あり,あり,あり,あまり楽な講義ではないが、教育学部必携の単位と言えよう。「学校と教師」のテーマに沿って教官が話をし、学生は講義の最後に課される課題について感想代わりに意見を書く。これを翌週提出することで出席とみなされるがどこまで内容を凝るかは人それぞれだ。教授のとろーんとした話し声は強く眠気を誘うが特に教育行政を志すならば意識を強く保ち、目を開け続ける必要がある。最後の試験は用語に簡潔な説明を付する問題と長文の論述。用語解説は講義資料をざっと見返せば問題ないが、教官が共同学位プログラムを強く進める立場であることを頭の片隅においておく必要がある。論述は事前に問題が公開される。
,全 眞嬉,情報基礎A,,2013年01月27日,やや仏,なし,あり,あり,M棟PCへのログインを出席とし授業中に作ったExcelデータやHTMLなどの提出が頻繁に課される。PCが得意なものにとってはこれらが初めての操作であっても難なくこなせる。内容によっては講義資料を基に初めの20分で提出課題を終わらせ、遊ぶこともできよう。ただ、PCを苦手とする生徒にとっては苦痛でしかない。講義は実にだらだらと進められ、教官の日本語は聞き取るに堪えない。なお、インターネットで遊ぶと成績が削られるという噂は、全時間インターネットで遊びまくっていた私のAAを以て否定する。いい成績を取りたければ凝ったHTMLを書こう。
,西山 慎一,経済学入門B,,2013年01月27日,ど仏,あり,なし,なし,期末試験100%、範囲は分厚い教科書ほぼ一冊となるとだいぶ地雷に見えるがいざ問題を見てみれば常識か政経の基礎知識を問うものばかり。落とす方が難しいだろう。一方、講義は現代の経済学を眺めるものであり、知っておいて損はない。教官の毒舌は好みが分かれるところかもしれないが、それでも十分に価値はある。経済学部の専門科目だが、他学部でも全学単位の振り替え制度があるので是非薦める。
,高橋豊文,微積分,,2013年01月25日,並,あり,なし,あり,文系向けの授業であったが、数学ⅢＣをやっていない身としては多少大変だった。テストは比較的簡単。
,ワーナー,英語B2,,2013年01月25日,ど仏,なし,なし,あり,何もしなくても浮いた。
,猿渡啓子,歴史と人間社会,,2013年01月24日,仏,あり,時々あり,なし,ゆーっくりすすむから眠くなるけど講義資料あるからなんとかなる。休講とビデオ見る回多し。テストも直前にチェックするだけで余裕。
,福西浩,総合,,2013年01月24日,鬼,なし,あり,あり,もはや授業じゃない。自分の武勇伝と中国ヨイショヨイショ。ただしたまに来るゲストは神。登録しないでゲスト回だけ行くことを全力で勧める。
,中本武志,基礎フランス語,,2013年01月24日,仏,あり,時々あり,あり,鬼仏表みてめっさビビってたら性格が変わってた。内容はじっくりやるが性格はテキトー。宿題も小テストも多いからど仏じゃないけど顔色みて簡単にしてくれること多し。毎週聞かされるシャンソンの選曲もいい。
,麻生透,線形代数学A,,2013年01月23日,ど鬼,あり,なし,なし,期末テスト一発勝負の相対評価。しかも進度早い上に教科書分かりづらい。最悪。全力で他組をお勧めする。
,森田直子,基礎フランス語,,2013年01月23日,並,時々あり,なし,あり,とてもいい人。ただ超少人数のため内職できないのが難点。出席はおそらくとってる。前期は中間と期末制度だったが、後期から小テストだけになり大きなテストが無くなった。毎回だされる宿題と小テストのみで評価。テスト期間に理系教科を圧迫してこないのが最大の強味。でも特別な理由がない限りはチャイ語安定。
,福西,総合,,2013年01月22日,ど鬼,,,,つまんない。めんどい。カス。
,福西,急成長する中国の科学技術と経済,,2013年01月22日,鬼,なし,あり,あり,中国に関する話とみせかけて、関係ないところで南極観測の話や教養教育など自分の世界を展開し始める。質問とコメント毎回ぎっしり書かないと小言言われるからマジめんどい。レポートも授業内容、つまり中国と関係ない話について。中国のこと知りたかったら中国語とったほうがマシ。
,福西浩,総合,,2013年01月22日,ど鬼,なし,あり,あり,自分のしたい話して終わり。毎回質問とコメント書かせられる。信者にならないと時間のムダ(笑)
,猿渡,歴史論,,2013年01月16日,やや鬼,あり,あり,時々あり,
,ワーナー,英語,,2013年01月10日,仏,なし,あり,あり,授業内容は出席兼ねたリスニングのクイズとディスカッション、パワーポイントを使ったプレゼンテーションです。ディスカッションはビデオ撮影するのでそれを無料のソフトウェアを使って文字におこし、抽出したデータをレポートとしてメールで提出します。このソフトウェアを使う際の注意ですが、はじめのイントロダクションにチュートリアル的なことをやるので、そのときにコマンドのやり方をメモ帳にメモしておくと後々忘れたときに（絶対忘れるので）役立ちます（ここに内容を書くのはなんとなく申し訳ないのでやめておきます）。ディスカッションはしゃべった者勝ちなんで臆せずしゃべりましょう。ただディスカッションとはいうものの代わる代わる話すと文字におこすときに大変なので一人一人が長めに話したほうがいいかも＾＾；あんまり人気ないけどいい人なんでぜひとってください。ネットサーフィンして遊んでる人は失礼なのでやめましょうね；；
,大木一夫,国語学概論,,2012年12月27日,やや鬼,あり,あり,あり,上の方はずいぶんMなんですねw専攻でなかったら、良い迷惑ですw毎回課題テストのために２０ページくらいテクスト読まされます。最終試験で本１冊からテストします。時間に遅れられません。授業はパワポでさくさく進め、授業最後に質問を書かせて、質問にも点数つけられます。この授業とるなら、他の授業２つとったほうがましですね。
,解析学Ａ,黒木玄,,2012年12月22日,並,あり,なし,なし,出席を一切取らない。期末一発で評価される。この人のテストは過去問も重要だがそれよりノートな気がする。また、テスト一週間前にはどこを出すか大体教えてくれる。出席をとらないので人が毎回少なくなっていくことに対して毎回心配している。そして休んでる人は図書館で自分で勉強してると思っている。んなわけない。テストの際もヒントを与えてくれて優しいのだがやたら喋るのでテスト中は静かにしてほしい。まぁいろいろ書いたが評価はテスト次第ただそれだけ。追試はしない方針。
,海老澤,おはなし物理学,,2012年12月22日,やや仏,あり,あり,あり,大体一時間目に設置されてるので学校に慣れてくると非常にだるい。また毎回授業終わりに意味不な問題が出される。４～６題のうち２題くらいをラスト１０分で書かせ出席の代わりとし残りの問題を各自レポートとして提出しなければならず、これまた非常にだるい。しかし、やれば必ずＡ、ＡＡが約束されてるので頑張り屋さんには見返りがある授業なのでお得。楽して単位だけ取りたい奴には苦痛以外も何物でもないはず。期末テストはテストという名の今までの授業の感想をひたすら書く。
,伊澤精一郎,物理Ａ,,2012年12月22日,並,あり,あり,あり,出席は毎回名簿をまわして名前を書いていく。レポートは2回あったが意味不な授業とは裏腹に大学受験レベルでまぁ分からなくても友達と協力すればいける。テストは期末のみでこれまた大学受験レベル＋α（物理を捨てて入学した奴はつらいかも。それでも内容が力学だけだからなんとかなる。）実際にレポート２回提出、期末まぁまぁでＡをいただけたので文句は一切ない。（出席は全部した）講義は分からない奴には分からない。
,平本,経済学入門A,,2012年11月28日,ど鬼,あり,あり,時々あり,シラバスに出席点となる感想が評価の40パーセントを占めるとあり、それを課すタイミングが突然やってくる。その一回の講義を逃したらもう地獄。単位不可。しかも後々そのレポートを提出しようとしても受け取ってもらえない。毎回講義にはでたほうがよい。
,福地,英語,,2012年11月26日,仏,あり,なし,時々あり,一回の授業で数人を指して出欠を確認するくらい。テストは辞書持込み可、授業でやった部分の英訳のみ。そんなに勉強しなくてもなんとかなった。
,米谷,会計学入門,,2012年10月22日,並,あり,あり,なし,テストがむずいし、時間が足りない。また、財務諸表についての細かい語句を出してくる。ただ、課題提出が成績評価の３０％を占めるため、詰んだと思っても意外と余裕で浮く。
,金崎,統計学入門,,2012年10月22日,やや仏,あり,あり,なし,授業は眠くなるが、いい成績を取りたい人はしっかり聞くべき。俺のように、あとで教科書で独学すればいいやと悠長に構えてはだめ。（教科書の内容は授業の内容より難しい）ただ、テスト自体の難易度は低いので浮くのは余裕だと思う。
,岩佐,物理A,,2012年10月22日,仏,あり,あり,なし,授業自体は死ぬ程難しいがレポートさえだせば、テスト全くとれなくても浮くと言う授業。そこまで心配しなくても大丈夫。
,宮本,英語Ａ１,,2012年10月21日,並,なし,あり,時々あり,きつい。しかしテストはなくレポも頑張れば3時間もかからない。添削をしっかれやれば正当な評価してもらえる。なにより英語の文章力がかなりつく。やる気があれば他組してもとるべきだが、一般人には苦痛だろう。
,土浦,物理Ａ,,2012年10月21日,ど仏,あり,なし,あり,授業は復習45分やってから。レポなし。テストもすべて事前に教えてくれる。感じのいい先生。正直いってＡＡ以外とりにくい。ただし、高校の復習でセメスターが終わってしまうので力は全くつかない。やる気がある人は他組してもいいかも。
,黒木玄,解析A,,2012年10月20日,仏,あり,なし,なし,黒木さんはTwitterやってる。授業はわかりやすい。あとウィキペディアにも載っている。テストの前の週の授業で、テストに出すところを教えてくれる。
,西山慎一,経済学入門B,,2012年10月18日,仏,あり,なし,なし,経済学の基礎理論について偏り無く全般的に学ぶ講義。過去問の内容がそのまま出るので仏だが、とても内容が濃く周囲の評価は高かった。個人的に経済学の面白さがわからなかった人にもぜひ勧めたい。
,笹原,教職論,,2012年10月17日,ど仏,あり,あり,時々あり,出席２割、レポート１割、テスト７割。レポートはミニットペーパーの裏に記入してくる程度の分量であり、難しくない。テストは50個くらいの選択肢がまとめて与えられて３５個ある空欄に当てはまるものを選んでいく形だった。前日にノートをしっかり見返しておけば楽に解ける。楽に高評価が狙える上、講義も面白かったのでおススメです。
,青木　俊明,,,2012年10月15日,ど鬼,あり,あり,あり,カス。１限からで、遅刻は欠席扱い。４回でアウト。授業はごみ。取らないほうがよい
,青木俊明,自然と環境,,2012年10月15日,鬼,あり,時々あり,あり,テストは最後に１回あるたまにレポートあり欠席４回以上でアウト眠い勧めない
,佐藤　篤,線形代数学,,2012年10月12日,仏,あり,なし,なし,評価厳しいけど落とすことは内
,上野・楊,基礎中国語Ⅰ,,2012年10月11日,ど仏,あり,なし,あり,かなり楽。内容も難しくないし、授業も厳しくない。楊さんの授業はゆるすぎるのでまじめに取り組みたい人には不満が残ると思う。
,北原,英語Ａ１,,2012年10月11日,並,なし,あり,なし,授業がはやい。予習しないと厳しい。最後にレポート（いくつかの長文読解問題）の提出をもとめられるが、期限もそんなにシビアではなく、半日かからず終わるのでちゃんと出したほうがいいよ、大目にＡを出してくれるらしいし。僕はまじめにとりくんでＡもらいました。予習のめんどくささで並にしました。
,小林一穂,社会の構造,,2012年10月11日,やや鬼,あり,なし,あり,浮くには浮くが、興味がないと高評価はとれない。僕は授業中ずっと寝ていた。テストは持ち込み可だがレジュメをもっていった程度ではどうしようもならない。授業をまじめにきいておいたほうがいいよ。
,岩崎祥一,心理学,,2012年10月11日,仏,あり,あり,あり,テストは持ち込み可なのでスライド資料を印刷して持っていくべき。ただし、初見だと厳しいので事前に目を通しておく。最後に読書感想文の提出が求められるのでそれをしっかりだせば高評価をもらえる。僕は欠席０で以上をしっかりこなしたところＡＡをもらえた。
,金崎,統計学入門,,2012年10月11日,並,あり,なし,なし,"中間ﾚﾎﾟｰﾄ（ﾏｰｸｼｰﾄ,25問くらいの問い）を出して、テストで語句や確率の分野の簡単な問題を解けば浮くと思う。授業にでてもかなりわかりにくいので不安な人は多少なりとも勉強したほうがいい。"
,佐野（正）,文学,,2012年10月11日,仏,あり,あり,あり,毎回の授業での感想＋中間レポート＋期末試験。中間レポートは映画を２本見てそれぞれ感想をかく。期末試験は授業で見た映画の考察や感想、映画事情を調べて記述。事前にいくつかの問題を教えてくれた。簡単に単位をもらえる。映画が嫌いじゃないならとるべき。
,西山,経済学入門Ｂ,,2012年10月11日,仏,あり,なし,なし,テスト一発勝負だが、難しくない。授業にでなくても講義資料に目を通せば十分浮くし、さらに過去問をやればＡＡは堅い。
,設楽（宏）,英語Ｂ１,,2012年10月11日,並,あり,なし,あり,とにかく課題がめんどくさい。でもまじめに取り組めばテストでそれなりに点数はとれる。僕はＡをもらえた。追試もあるので落ちることはあまりないと思われる。学生にかなり発言を求めるので、苦手な人や予習していない人は恥をかく。
,青木　俊明,自然と環境,,2012年10月11日,ど鬼,あり,なし,あり,出席がマジキチ。欠席を４回以上すると自動的にDとなる。遅刻は欠席と同じ扱いとなる。なので、もし１限のこの授業にねぼうしたときは登校するのをあきらめて家でおとなしくスマブラをしていた方が健康的である。また無遅刻無欠席の知り合いがC評価であったため、この授業でAAをとるのは、宝くじで３億円当てるよりも難しいと言わざるを得ない。
,坂場,化学Ａ,,2012年10月05日,並,あり,あり,なし,よく仏と言われてたけどそうでもない
,北原,英語A1,,2012年10月05日,仏,なし,あり,あり,教官がいい人。授業中ランダムで当てられるのが少々ウザいが、質問自体は難しくない。ただ授業を進めるスピードが速いので注意。今回テストの代わりにレポートが課されたが、教官が言っていた通り、やる気があれば半日くらいで終わるものだった。自分は別に英語がそこまで得意だったわけではないが、真面目にやってたらＡもらえた。努力が報われます。
,長友  雅美,基礎ドイツ語Ⅰ,,2012年10月05日,仏,あり,なし,あり,少人数しかとらないしかし授業は楽だし、先生も優しくて面白い真剣にドイツ語を習得したいような人にはオススメでないただ、ドイツの街並などの映像をよく見たりするので楽しいあと、テストも教科書持ち込み可で簡単です 単位を落とすことはまずないでしょう
,須田明博,スペイン語,,2012年10月05日,ど仏,時々あり,時々あり,あり,うざいが憎めないやつ。しかし、出席さえしとけば単位は貰える。一緒にいじる友達がいれば最高の授業になるでしょう。
,海老沢,おはなし物理学,,2012年10月05日,やや仏,あり,あり,あり,この講義は問題を解かされるレポートが毎週あるので正直面倒だった問題がわからなくても思いついたことをたくさん書けば何とかなると思うただ高校の時に物理をとっていない人が受講するとたぶんついていけないのでおすすめしない
,塚本,地球物質科学,,2012年10月05日,ど仏,なし,なし,時々あり,出席するだけで単位は落とすことはないもはや神話も面白いし興味がありかつ楽に単位を取ろうとすろ人はこの講義を選んだ方がいい
,岩本 武明,化学A,,2012年10月05日,ど仏,あり,なし,あり,クソみたいなシュレディンガー方程式を懇切丁寧にわかりやすく教えてくれてのでそういう意味で仏　テストも楽だし
,三井 唯夫,物理学D,,2012年10月05日,やや鬼,時々あり,あり,なし,授業がわかりにくい　テストも存外難しい　出席取らないのが救いかもね
,葛生 正則,経済と社会,,2012年10月05日,やや仏,あり,なし,あり,テスト二発勝負　覚えることも少ないので楽
,久保 英夫,解析学A,,2012年10月05日,ど仏,あり,なし,あり,出席だけ書けばA貰える　問題は解けなくてもいい
,木村　博子,英語B1,,2012年10月04日,鬼,なし,なし,あり,かわいいは正義
,橘由加,英語,,2012年10月04日,,あり,なし,あり,Linc Englishは1年で6000円かかるが、それで単位を買えると思えば安いもの。問題形式はTOEFLに準じているので、スコアを伸ばしたい方は真面目にやろう。
,深澤百合子,アイヌエスノヒストリー,,2012年10月04日,仏,あり,なし,あり,出席代わりにその日の授業の要約(200字)が課される。記述力が上がるのを見越してと言っていた。確かにそうだったと思う。最後に記述のテストがあり、600～800字だと聞いていたのが600×3だったのには焦った。しかしちゃんと出席して要約してたら大丈夫だと思う。授業聞いてて、あーこの人やりたいこと研究してるんだなーって思った。
,竹内修身,思想と倫理の世界,,2012年10月04日,ど仏,あり,なし,なし,神。３行書けば浮くという伝説は今年も健在だった。ただし、あまりにも多くの人が受講を希望するので、この講義を受けれるか否かはあなたの運次第。
,市毛,スポーツA,,2012年10月04日,ど鬼,なし,あり,あり,スポーツなのにレポート（手書き）を出すカス。全部出席すればAAだから、スポーツ嫌いなイカトンにはおすすめ。純粋にスポーツ楽しみたい人は、テニスやソフトボールなどに行ったほうがいい　　
,深澤百合子,考古学,,2012年10月04日,鬼,あり,あり,あり,授業は面白いが期末もありレポートもあり毎回授業の要約を提出とけっこうツライ。ただいい先生だと思う。
,窪俊一,基礎ドイツ語,,2012年10月04日,仏,あり,なし,あり,出席は毎回とってる(らしい)。２～３回簡単な宿題が出る。授業中は毎回全員を回り当ててくるが寝てる人は起こさない。期末試験は学習した文法のまとめプリントのみ持ち込み可。なので覚えてないことは書き込めばおｋ。最後の設問が書けば書くほど加点されるという救済装置。
,森,絵画観賞入門,,2012年10月03日,並,あり,時々あり,時々あり,単位取るだけなら仏だけど、AAやAを取るのは男子は難しい。任意のレポート全部だしてテストしっかり書いたのにＢだった。女子への評価は甘いっぽい。  
,ナガヌマ,スペイン語,,2012年10月03日,やや仏,あり,なし,あり,まじめにやれば普通に良い評価が貰える。農学部では他の先生がオススメされるがナガヌマでも良いと思う。
,滝澤克彦,宗教学,,2012年10月03日,並,なし,あり,時々あり,レポートの評価のポイントがよくわからないが、とりあえず出せば単位はくれる。出席は４回くらいしかとらない。シラバスをみて面白そうと思った人にはおすすめ。
,八木,自然地理学,,2012年10月03日,仏,あり,時々あり,時々あり,高校時代に地理が好きだった人は楽しいと思います。テストもそこまで難しくはないので、Aを狙うのはわりと簡単かと。
,遊佐重樹,英語C1,,2012年10月03日,仏,あり,あり,あり,評価もとりやすいが、それ以上に授業が素晴らしい。とにかくお薦めな授業。
,竹内,化学A,,2012年10月03日,やや鬼,あり,なし,あり,後ろの方にいると何いってるかわかりません。ただ薬学部の人は専門にいってもこの人の授業はあるのであきらめて受けるしかないでしょう。
,手束,数学物理演習Ⅱ,,2012年10月03日,鬼,あり,あり,なし,レポートは体裁良くしないと減点され、テストは授業で扱った問題を少し弄った程度だが部分点はくれないので完答しないとまず点はもらえない。レポートでもテストでも容赦なく点を削ってきます。授業も熱意が感じられず解説も教科書読めばいらないので退屈。わかりにくい教科書も合わさって苦痛を感じるようになりました。浮くことは出来ても内容も評価の仕方も駄目なんで避けることを勧めます。
,ハットフィールド,英語B1,,2012年10月03日,ど仏,なし,あり,あり,授業は全て英語で行われるが、先生は分かりやすく喋ってくれるので問題ない。授業内容はビデオを見て、友達と会話するだけで楽。リスニングの課題が数回出たが、これも簡単なもので楽だった。普通に受けてるだけでAAがもらえた。
,佐藤（透）,思想と倫理,,2012年10月03日,仏,あり,なし,あり,テストは持ち込み可。出席してれば単位落とすことは無いです。
,前,生命と自然,,2012年10月03日,やや仏,あり,あり,あり,出席は毎回とってる。レポートは毎回授業の要約がペーパー一枚分と1セメにつき自由なテーマでレポートを書く。授業は難しくて興味がないとつらいかも。テストでは前述の授業の要約ペーパーしか持ち込めないから真面目にレポ書くこと！
,遅沢壮一,インセクトフィールドサイエンス,,2012年10月02日,ど仏,なし,あり,あり,基礎ゼミの中でも一位二位を争うネ申。出席、レポートはあるが履修放棄とみなされない程度であればAA。道具はかなり値段が高いが買わなくてもおk。
,岡本,物理A,,2012年10月02日,鬼,あり,,あり,高校で物理をやってなかった人には厳しい。授業は意味不明。スライドも意味不明。小テストあり。小テストは勉強すれば何とかなる。期末テストは勉強しても無理。しかし救済措置があり、落とすことはない。
,河村,法・政治と社会,,2012年10月02日,並,,あり,,評価はレポート100％。授業で指定された本を読みレポートを書けばいいので、レポートは書きやすい。真面目に書けばAをもらえる。授業もそこそこ面白い。
,久保,解析学A,,2012年10月02日,やや仏,あり,,あり,テストは難しく半分くらいしか分からなかったが、Aを貰えた。出席点が大きいのかも。
,李,物理学D,,2012年10月02日,並,あり,なし,あり,どうしようもないほどどうしようもない。ただ教科書を棒読みしているだけで、書いてある事と面白くない洒落と（最初は面白い）自虐ネタしか言わない。ちゃんと理解したいなら、自分で教科書を読んで勉強した方がマシ。評価は毎回の小テストと中間・期末試験。小テストは追試がある。
,佐野　正人,文学（映画）,,2012年10月01日,ど仏,あり,あり,あり,テストは映画の特徴や自分の意見をまとめるだけ。レポートは指定の映画について（ただし、あらすじを書くのは避けよう）。出席代わりのミニットペーパーに気づいた点や疑問を書くと、次週にTAさんが（先生はほとんどたまに）答えてくれる。感想だけでも書いて出すといい。映画好きには単位ももらえてこの上なく美味しい講義である。
,舟山　ほか,生命と自然,,2012年10月01日,やや仏,なし,あり,あり,ミニットペーパーで出席を取ります。レポートは３回。ドーピング、薬物乱用、肥満、遺伝など、身近な題材なので文系でも大丈夫。（生物履修者ならおもしろい）内職・睡眠しててもミニットぺーパー出してレポートもちゃんとやればAがくると思われる。
,宮崎　正美,ラテン語Ⅰ,,2012年10月01日,ど仏,なし,あり,あり,途中５分の休憩をはさんで、先生が説明し続ける授業。金曜５限なので寝る人が多いが、先生は何も言わない。だが聞いてるとラテン語への情熱が伝わってきて先生が好きになる。レポートは中間期末の２回。授業聞いて教科書や辞書見ながらやればわかります。辞書の引き方は先生も丁寧に説明してくれるので、きちんと授業で覚えること。これができないとレポートは死です。レポートは、単語ごとに文法的解析をして、文を和訳するというもの。毎回寝ないで講義受けてきちんとレポート出したらAAくれました。
,森　雅彦,絵画鑑賞入門（芸術の世界）,,2012年10月01日,仏,あり,時々あり,なし,レポートは、県立美術館の企画展に行ってレポート出すというもので任意。評価アップの可能性あり。授業自体は教養として知っといて損はないどころか得なので、時間があったら受けるといいです。期末テストは、問題を事前提示する代わり持ち込み不可というものでした。レポート出して普通にやってればBがくる。
,ワーナー,英語B1,,2012年10月01日,並,なし,なし,あり,授業の最初にやるリスニングクイズが出席になる。メインはディスカッション。英語でおしゃべりできるなら問題なし。ただし自分のグループのディスカッションがDVDに取られるのではずい。それ見てプログラミング（？）にタイプするのがめんどくさい。英語得意ならろくに頑張らなくてもAA。
,菊池,英語A1,,2012年10月01日,やや鬼,あり,なし,,テストは小テストのこと。中間や期末はなし。渡された新聞記事を読んできて、授業でわからないところを質問、わかる学生はそれに答える形式。プラス先生の説明。質問・解答両方にボーナスポイントが付く。質問が出尽くしたところで小テスト（３０～４０分）。１０点満点の小テストの点数とボーナスポイントの累積で成績評価されます。不自然なほど忠実な和訳を求められるので、予習に手間がかかる。でも英語できる人なら余裕でA。
,エンリコ・フォンガロ,イタリア語Ⅰ,,2012年10月01日,ど仏,あり,なし,あり,ステレオタイプとは真逆のイタリア人の先生。日本語ペラペラで優しいです。パートナーとの会話を中心に映像教材を交えて授業が進みます。地に足の着いた実用的なイタリア語が身に付きます。ちゃんと出席して期末試験でそこそこやったらAA来ました。
,ベルント・シャハト,基礎ドイツ語Ⅰ,,2012年10月01日,ど仏,あり,時々あり,あり,先生が入ってきたらすぐ出席なので、遅刻しないようにしましょう。ちゃんと出席してまじめに授業参加して期末テストでそこそこやればA来ます。怒ったり学生を責めることはしないで、努力をうながしてくれる優しい先生です。ドイツ事情も聞けるので、ドイツ好きにはオススメ。文法を無理やり突っ込むのではなく、会話で覚えるヨーロッパ式授業で、日本人の先生と違って、無理なくドイツ語を覚えれます。たまにビデオ見せてくるので、その感想やレポートを提出すると評価アップ。とにかくいい先生です。
,正村俊之,社会とコミュニケーション,,2012年10月01日,仏,あり,なし,なし,人数が少なかったからかサボるとすぐバレて、結構冷たい視線がぐさぐさ刺さってくる。でもある程度出席してそれなりのノートがあれば普通に浮く。
,松田,化学A,,2012年10月01日,やや仏,あり,あり,なし,授業はわかりやすくやってくれる。テストは難しいがレポートだしてれば救済してくれるっぽい。ただレポートも難しいので友人だのみ！
,田嶋玄一,生命科学A,,2012年10月01日,並,あり,あり,あり,いい人そうだけど、テストがエグい。レポートも出席もしてたけど、テスト白紙でだしたら呼び出されたｗｗでも追加課題（簡単）を出せば浮く。
,南條・豊水,生命科学Ａ,,2012年10月01日,仏,あり,なし,あり,南條さんの方は眠くなるような授業。豊水さんは面白い。テストは持ち込み可なので楽だった。
,海老澤,おはなし物理学,,2012年10月01日,仏,あり,あり,あり,物理やってた人にとっては簡単だが、物理未履修者にとっては辛いと思われる。毎週出されるレポートをしっかり書けば、期末がいまいちでもＡＡがもらえる。
,三石大・長谷川真吾,情報基礎Ａ,,2012年10月01日,鬼,なし,あり,あり,長谷川さんの方は分かりやすく、優しい。三石の方は分かりにくく、生徒に嫌味を言ってくるのでウザい。自力でプログラミングを書くのは不可能なので、工学部の情報の先輩などに書いてもらいましょうwそうすればＡＡです
,ハットフィールド・スティーヴン,英語Ｂ２,,2012年09月30日,仏,なし,あり,あり,授業がゆるくて易しい。とりあえず出てればＡＡ。
,小林一穂,社会の構造,,2012年09月30日,やや鬼,あり,あり,あり,授業の最後に必ず小テストがあるので真面目に授業を受けなければいけない。期末テストは持ち込み可だが論述なので授業を真面目に受けてないと持ち込んでも意味が無い。興味がある人向け。
,高橋まさえ,化学Ａ,,2012年09月30日,やや仏,あり,なし,なし,授業をしっかり聞いていれば大丈夫。テストがだめでも、救済措置のレポートを出せば浮く。
,下館和巳,芸術の世界　演劇の魅力,,2012年09月30日,並,なし,あり,あり,レポートを書かされることが多くて面倒だった。実際に演劇をやってみる授業があるが、役者に立候補すればＡＡ、しなくてもＡはもらえる。
,工藤昭彦,時代の文脈からみた食と農,,2012年09月30日,仏,あり,あり,あり,中間試験があるが、持ち込み可能なので回答を先に作って写すだけにするとよい。期末は3000字程度のレポートを書かされるが、とりあえず書いておけばＡＡがもらえる。
